LOCALITA,DATA,TMEDIA °C,TMIN °C,TMAX °C,PUNTORUGIADA °C,UMIDITA %,VISIBILITA km,VENTOMEDIA km-h,VENTOMAX km-h,RAFFICA km-h,PRESSIONESLM mb,PRESSIONEMEDIA mb,PIOGGIA mm,FENOMENI
Bologna,27-06-2017,"26","22","32","20","73","15","10","21","0","1009","0","0","pioggia temporale "
Bologna,28-06-2017,"24","18","31","18","71","18","14","33","0","1003","0","0","pioggia temporale "
Bologna,29-06-2017,"23","16","30","11","54","20","16","37","0","1002","0","0",""
Bologna,30-06-2017,"22","17","26","10","48","20","11","26","0","1009","0","0",""
Bologna,01-07-2017,"23","13","28","10","45","19","10","22","0","1012","0","0",""
Bologna,02-07-2017,"22","14","29","12","52","22","11","21","0","1015","0","0",""
Bologna,03-07-2017,"26","19","33","11","40","19","13","24","0","1018","0","0",""
Bologna,04-07-2017,"25","17","32","14","53","19","10","21","0","1019","0","0",""
Bologna,05-07-2017,"26","19","34","15","52","20","9","18","0","1018","0","0",""
Bologna,06-07-2017,"28","20","35","14","43","19","10","17","0","1018","0","0",""
Bologna,07-07-2017,"30","22","36","12","35","21","11","17","0","1017","0","0",""
Bologna,08-07-2017,"29","22","37","16","44","20","9","15","0","1015","0","0",""
Bologna,09-07-2017,"29","23","35","18","50","21","12","22","0","1014","0","0",""
Bologna,10-07-2017,"30","25","35","13","35","20","14","26","0","1011","0","0",""
Bologna,11-07-2017,"26","20","34","17","59","20","8","18","0","1013","0","0","pioggia temporale "
Bologna,12-07-2017,"26","20","32","18","62","19","8","15","0","1013","0","0",""
Bologna,13-07-2017,"28","24","33","19","57","21","13","22","0","1012","0","0",""
Bologna,14-07-2017,"25","21","28","17","64","20","11","31","0","1013","0","0","pioggia "
Bologna,15-07-2017,"25","18","30","14","54","20","10","22","0","1015","0","0",""
Bologna,16-07-2017,"23","17","28","10","47","22","11","21","0","1021","0","0",""
Bologna,17-07-2017,"23","16","30","9","41","21","10","15","0","1021","0","0",""
Bologna,18-07-2017,"26","17","32","10","38","20","12","17","0","1019","0","0",""
Bologna,19-07-2017,"28","19","37","12","40","20","10","21","0","1017","0","0",""
Bologna,20-07-2017,"28","22","33","12","38","20","10","17","0","1013","0","0",""
Bologna,21-07-2017,"27","21","34","16","50","21","12","22","0","1013","0","0",""
Bologna,22-07-2017,"29","23","35","16","46","20","11","18","0","1014","0","0",""
Bologna,23-07-2017,"29","22","35","16","46","20","10","18","0","1014","0","0",""
Bologna,24-07-2017,"27","22","34","16","51","22","12","30","0","1005","0","0","pioggia "
Bologna,25-07-2017,"25","18","31","12","50","21","12","26","0","1004","0","0",""
Bologna,26-07-2017,"24","15","31","9","44","21","13","26","0","1005","0","0",""
Bologna,27-07-2017,"25","17","33","11","44","21","10","21","0","1009","0","0",""
Bologna,28-07-2017,"27","18","33","13","42","21","11","21","0","1011","0","0",""
Bologna,29-07-2017,"27","21","33","17","55","20","10","18","0","1015","0","0",""
Bologna,30-07-2017,"27","21","34","18","61","20","11","22","0","1015","0","0",""
Bologna,31-07-2017,"28","22","35","19","59","19","10","21","0","1016","0","0",""
Bologna,01-08-2017,"30","22","38","19","55","21","10","18","0","1017","0","0",""
Bologna,02-08-2017,"32","25","39","17","42","19","9","17","0","1016","0","0",""
Bologna,03-08-2017,"33","25","39","17","39","20","10","21","0","1014","0","0",""
Bologna,04-08-2017,"33","24","40","13","29","20","10","15","0","1011","0","0",""
Bologna,05-08-2017,"32","24","38","15","36","20","10","15","0","1010","0","0",""
Bologna,06-08-2017,"29","22","37","18","55","18","8","35","0","1010","0","0","pioggia temporale "
Bologna,07-08-2017,"25","21","30","19","69","19","9","22","0","1015","0","0",""
Bologna,08-08-2017,"27","20","33","19","65","19","12","28","0","1013","0","0",""
Bologna,09-08-2017,"29","22","38","19","61","20","12","26","0","1011","0","0",""
Bologna,10-08-2017,"26","21","31","16","56","21","11","26","0","1011","0","0","pioggia temporale "
Bologna,11-08-2017,"24","18","29","9","42","21","17","41","0","1011","0","0",""
Bologna,12-08-2017,"22","17","29","10","47","19","12","22","0","1014","0","0","pioggia "
Bologna,13-08-2017,"25","17","32","10","40","21","12","18","0","1017","0","0",""
Bologna,14-08-2017,"25","18","32","12","44","20","13","21","0","1019","0","0",""
Bologna,15-08-2017,"27","19","34","13","45","19","10","22","0","1019","0","0",""
Bologna,16-08-2017,"27","21","33","15","46","20","11","17","0","1017","0","0",""
